分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,45,0.1333,0.7301,-1180.50,-26.23,-0.2769,0.3181
阶段,中期,45,0.2222,3.4026,4079.88,90.66,-0.0069,1.0040
阶段,后期,46,0.2391,3.0334,3093.07,67.24,-0.0132,1.0330
总体,总体,136,0.1985,2.6252,5992.45,44.06,-0.0984,0.8624
