交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
HYPE-USDT-SWAP,多,2025-06-16 06:00:00,44.33143270,2025-06-16 22:00:00,42.89171040,17.585361,-26.24,-0.3366,0.92,移动止盈/止损,0.0826,-591.48,0.0826,-0.0933,0.6667,-0.002789,0
XRP-USDT-SWAP,多,2025-06-16 18:00:00,2.32383236,2025-06-16 22:00:00,2.27387259,602.557303,-31.77,-0.2269,1.66,移动止盈/止损,0.1483,-623.25,0.1483,-0.0964,0.1667,-0.003388,0
BCH-USDT-SWAP,多,2025-06-16 15:00:00,472.85059108,2025-06-18 15:00:00,464.42355300,3.840313,-34.52,-0.1901,2.16,对齐失效,0.1962,-657.77,0.1962,-0.0997,2.0000,-0.003695,1
BCH-USDT-SWAP,多,2025-06-19 18:00:00,495.13950900,2025-06-20 17:00:00,483.03169200,1.797065,-22.81,-0.2564,1.05,移动止盈/止损,0.0952,-680.58,0.0952,-0.1019,0.9583,-0.002448,0
TAO-USDT-SWAP,多,2025-06-24 06:00:00,362.08620500,2025-06-24 16:00:00,358.87410900,2.026014,-7.38,-0.1007,0.88,移动止盈/止损,0.0787,-687.97,0.0787,-0.1026,0.4167,-0.000793,0
ARB-USDT-SWAP,多,2025-06-24 06:00:00,0.31926411,2025-06-25 05:00:00,0.30876912,5230.937331,-56.87,-0.3405,1.97,移动止盈/止损,0.1810,-744.84,0.1810,-0.1081,0.9583,-0.006145,1
ZEC-USDT-SWAP,多,2025-06-25 00:00:00,42.86428600,2025-06-25 08:00:00,42.05579400,27.498953,-23.63,-0.2005,1.40,移动止盈/止损,0.1268,-768.47,0.1268,-0.1104,0.3333,-0.002560,0
WIF-USDT-SWAP,多,2025-06-24 06:00:00,0.87258725,2025-06-25 14:00:00,0.83531646,615.115298,-23.56,-0.4389,0.63,移动止盈/止损,0.0576,-792.03,0.0576,-0.1126,1.3333,-0.002558,0
BCH-USDT-SWAP,多,2025-06-26 03:00:00,494.71781977,2025-06-28 06:00:00,497.76021900,4.655774,11.39,0.0495,2.77,对齐失效,0.2519,-780.63,0.2519,-0.1115,2.1250,0.001236,1
HYPE-USDT-SWAP,多,2025-06-29 12:00:00,38.99089870,2025-06-29 17:00:00,38.25017460,38.149137,-30.03,-0.2019,1.77,移动止盈/止损,0.1612,-810.66,0.1612,-0.1144,0.2083,-0.003268,0
PENDLE-USDT-SWAP,多,2025-06-30 00:00:00,3.71117108,2025-06-30 06:00:00,3.60993897,353.658966,-37.36,-0.2846,1.55,移动止盈/止损,0.1413,-848.01,0.1413,-0.1180,0.2500,-0.004082,0
BONK-USDT-SWAP,多,2025-06-28 18:00:00,0.01448745,2025-06-30 21:00:00,0.01447455,61874.269679,-1.87,-0.0209,1.08,对齐失效,0.0972,-849.89,0.0972,-0.1182,2.1250,-0.000205,0
BOME-USDT-SWAP,多,2025-06-29 09:00:00,0.00155933,2025-07-01 04:00:00,0.00151285,1386507.035203,-67.01,-0.3099,2.56,移动止盈/止损,0.2363,-916.89,0.2363,-0.1247,1.7917,-0.007377,1
BNB-USDT-SWAP,多,2025-07-02 15:00:00,661.81617500,2025-07-03 15:00:00,656.89430400,5.960410,-34.05,-0.0863,4.72,移动止盈/止损,0.4343,-950.95,0.4343,-0.1279,1.0000,-0.003763,0
BTC-USDT-SWAP,多,2025-07-02 15:00:00,108745.86221530,2025-07-04 13:00:00,107907.90813000,0.029113,-28.18,-0.0890,3.78,移动止盈/止损,0.3491,-979.13,0.3491,-0.1307,1.9167,-0.003124,1
TRX-USDT-SWAP,多,2025-07-02 09:00:00,0.28357291,2025-07-04 16:00:00,0.28222178,31932.357546,-53.99,-0.0596,10.84,移动止盈/止损,1.0001,-1033.11,1.0001,-0.1359,2.2917,-0.006021,3
