交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
BTC-USDT-SWAP,多,2025-05-21 04:00:00,108803.07515663,2025-05-23 11:00:00,109022.29668000,0.101924,9.02,0.0008,13.32,移动止盈/止损,0.9214,2077.57,0.9214,-0.0514,2.2917,0.000747,2
TAO-USDT-SWAP,多,2025-05-21 20:00:00,450.27647534,2025-05-23 11:00:00,447.41525400,5.731291,-19.49,-0.0076,3.09,移动止盈/止损,0.2152,2058.08,0.2152,-0.0529,1.6250,-0.001616,1
ZEC-USDT-SWAP,多,2025-05-22 16:00:00,49.01978563,2025-05-23 11:00:00,47.45525400,57.046330,-92.55,-0.0331,3.30,移动止盈/止损,0.2278,1965.53,0.2278,-0.0602,0.7917,-0.007735,1
BONK-USDT-SWAP,多,2025-05-23 10:00:00,0.02464646,2025-05-23 11:00:00,0.02300270,41702.210197,-69.74,-0.0679,1.19,移动止盈/止损,0.0833,1895.79,0.0833,-0.0657,0.0417,-0.005863,0
ZEC-USDT-SWAP,多,2025-05-25 22:00:00,55.47834696,2025-05-26 02:00:00,51.51484800,45.402734,-182.87,-0.0726,2.91,移动止盈/止损,0.2140,1712.92,0.2140,-0.0800,0.1667,-0.015613,1
VIRTUAL-USDT-SWAP,多,2025-05-26 06:00:00,2.22112209,2025-05-26 16:00:00,2.13838614,575.944734,-49.16,-0.0384,1.51,移动止盈/止损,0.1092,1663.76,0.1092,-0.0839,0.4167,-0.004215,0
PENDLE-USDT-SWAP,多,2025-05-27 16:00:00,4.64386434,2025-05-28 02:00:00,4.48615134,393.401702,-64.20,-0.0351,2.16,移动止盈/止损,0.1566,1599.56,0.1566,-0.0889,0.4167,-0.005535,0
ETH-USDT-SWAP,多,2025-05-27 16:00:00,2669.86696000,2025-05-28 06:00:00,2626.29734400,1.030644,-48.18,-0.0175,3.28,移动止盈/止损,0.2359,1551.38,0.2359,-0.0927,0.5833,-0.004171,0
ZEC-USDT-SWAP,多,2025-06-03 04:00:00,55.28552800,2025-06-03 06:00:00,53.92460700,35.118549,-50.09,-0.0258,2.30,移动止盈/止损,0.1681,1501.29,0.1681,-0.0967,0.0833,-0.004356,0
HYPE-USDT-SWAP,多,2025-06-03 14:00:00,38.14281390,2025-06-03 17:00:00,36.81331830,40.258293,-55.33,-0.0360,1.81,移动止盈/止损,0.1338,1445.95,0.1338,-0.1010,0.1250,-0.004834,0
PENDLE-USDT-SWAP,多,2025-06-03 10:00:00,4.37793775,2025-06-03 20:00:00,4.23917604,472.581048,-68.02,-0.0329,2.44,移动止盈/止损,0.1799,1377.94,0.1799,-0.1063,0.4167,-0.005978,0
TON-USDT-SWAP,多,2025-06-05 12:00:00,3.25082505,2025-06-05 14:00:00,3.21897807,940.893706,-33.62,-0.0110,3.65,移动止盈/止损,0.2688,1344.32,0.2688,-0.1090,0.0833,-0.002963,0
TRX-USDT-SWAP,多,2025-06-07 18:00:00,0.28492480,2025-06-08 18:00:00,0.28226177,33094.709680,-99.39,-0.0105,11.26,移动止盈/止损,0.8328,1244.92,0.8328,-0.1168,1.0000,-0.008839,1
BCH-USDT-SWAP,多,2025-06-07 12:00:00,413.08825969,2025-06-08 23:00:00,410.57893800,17.330807,-52.05,-0.0073,8.56,移动止盈/止损,0.6314,1192.87,0.6314,-0.1209,1.4583,-0.004651,1
AVAX-USDT-SWAP,多,2025-06-08 18:00:00,21.21212100,2025-06-09 02:00:00,20.68293150,119.412135,-66.19,-0.0261,3.00,移动止盈/止损,0.2247,1126.68,0.2247,-0.1261,0.3333,-0.005949,0
XRP-USDT-SWAP,多,2025-06-08 12:00:00,2.28054431,2025-06-09 03:00:00,2.24127585,1874.985331,-78.71,-0.0184,5.09,移动止盈/止损,0.3798,1047.96,0.3798,-0.1323,0.6250,-0.007125,1
HYPE-USDT-SWAP,多,2025-06-09 10:00:00,37.64075490,2025-06-10 05:00:00,38.95110450,148.064356,187.21,0.0336,6.80,移动止盈/止损,0.4936,1235.17,0.4936,-0.1176,0.7917,0.016663,3
SUI-USDT-SWAP,多,2025-06-09 10:00:00,3.36844835,2025-06-10 13:00:00,3.45785418,1728.727618,147.48,0.0253,7.08,移动止盈/止损,0.4647,1382.65,0.4647,-0.1060,1.1250,0.012957,2
TAO-USDT-SWAP,多,2025-06-10 06:00:00,434.78347400,2025-06-10 17:00:00,421.46784900,4.205917,-58.17,-0.0318,2.16,移动止盈/止损,0.1555,1324.49,0.1555,-0.1105,0.4583,-0.005136,0
WIF-USDT-SWAP,多,2025-06-10 06:00:00,1.03400339,2025-06-11 07:00:00,1.01429856,1130.511477,-23.67,-0.0202,1.39,移动止盈/止损,0.0994,1300.82,0.0994,-0.1124,1.0417,-0.002094,0
HYPE-USDT-SWAP,多,2025-06-10 20:00:00,42.72089704,2025-06-11 17:00:00,42.90870870,128.773586,17.57,0.0032,6.62,移动止盈/止损,0.4188,1318.39,0.4188,-0.1110,0.8750,0.001552,2
UNI-USDT-SWAP,多,2025-06-09 10:00:00,6.84365584,2025-06-11 18:00:00,8.07119280,1315.079015,1602.54,0.1781,11.77,移动止盈/止损,0.8057,2920.93,0.8057,0.0000,2.3333,0.124028,3
VIRTUAL-USDT-SWAP,多,2025-06-11 14:00:00,2.23522350,2025-06-11 21:00:00,2.11388859,111.230497,-13.79,-0.0555,0.29,移动止盈/止损,0.0186,2907.14,0.0186,-0.0011,0.2917,-0.001068,0
ARB-USDT-SWAP,多,2025-06-10 18:00:00,0.40724526,2025-06-11 22:00:00,0.39466053,7963.726497,-104.05,-0.0321,3.83,移动止盈/止损,0.2440,2803.09,0.2440,-0.0091,1.1667,-0.008127,1
BCH-USDT-SWAP,多,2025-06-15 14:00:00,459.39593500,2025-06-16 10:00:00,455.44445100,4.686048,-21.09,-0.0098,2.57,移动止盈/止损,0.1681,2782.00,0.1681,-0.0108,0.8333,-0.001650,0
HYPE-USDT-SWAP,多,2025-06-16 06:00:00,44.33143270,2025-06-16 22:00:00,42.89171040,39.719677,-59.26,-0.0337,2.08,移动止盈/止损,0.1377,2722.74,0.1377,-0.0153,0.6667,-0.004658,0
XRP-USDT-SWAP,多,2025-06-16 14:00:00,2.29413837,2025-06-16 23:00:00,2.23697628,2723.954163,-163.11,-0.0261,7.41,移动止盈/止损,0.4895,2559.62,0.4895,-0.0280,0.3750,-0.012987,1
BCH-USDT-SWAP,多,2025-06-19 18:00:00,495.13950900,2025-06-20 14:00:00,481.71182400,4.026600,-56.43,-0.0283,2.36,移动止盈/止损,0.1587,2503.20,0.1587,-0.0323,0.8333,-0.004513,0
APT-USDT-SWAP,多,2025-06-24 14:00:00,4.90674954,2025-06-25 10:00:00,4.75142481,430.167554,-69.31,-0.0328,2.49,移动止盈/止损,0.1719,2433.89,0.1719,-0.0377,0.8333,-0.005574,1
LINK-USDT-SWAP,多,2025-06-24 06:00:00,13.48692172,2025-06-25 11:00:00,13.27267260,296.637011,-68.32,-0.0171,4.76,移动止盈/止损,0.3213,2365.57,0.3213,-0.0430,1.2083,-0.005525,1
WIF-USDT-SWAP,多,2025-06-24 06:00:00,0.87258725,2025-06-25 14:00:00,0.83531646,1374.328590,-52.63,-0.0439,1.41,移动止盈/止损,0.0960,2312.94,0.0960,-0.0471,1.3333,-0.004274,0
HYPE-USDT-SWAP,多,2025-06-23 22:00:00,37.99879950,2025-06-25 22:00:00,36.77932170,25.416338,-32.14,-0.0333,1.14,对齐失效,0.0772,2280.81,0.0772,-0.0495,2.0000,-0.002617,0
BCH-USDT-SWAP,多,2025-06-25 16:00:00,492.95676582,2025-06-26 10:00:00,496.60033500,24.610268,75.06,0.0062,14.61,移动止盈/止损,0.9887,2355.86,0.9887,-0.0437,0.7500,0.006075,3
