分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,609,0.3432,1.9124,-4051.60,-6.65,-0.0000,0.0369
阶段,中期,609,0.3284,1.6619,-2636.79,-4.33,-0.0025,0.0346
阶段,后期,610,0.3787,2.0799,2317.81,3.80,0.0034,0.0521
总体,总体,1828,0.3501,1.8993,-4370.58,-2.39,0.0003,0.0420
