timestamp,open,high,low,close,volume
2025-05-01 00:00:00,0.172170,0.173510,0.171990,0.172950,92257474.00
2025-05-01 01:00:00,0.172950,0.174400,0.172950,0.174300,118001995.00
2025-05-01 02:00:00,0.174300,0.175360,0.173970,0.174260,165195846.00
2025-05-01 03:00:00,0.174270,0.175070,0.173760,0.173990,131636154.00
2025-05-01 04:00:00,0.174000,0.174390,0.173570,0.174250,74640587.00
2025-05-01 05:00:00,0.174260,0.175450,0.174170,0.175190,95657764.00
2025-05-01 06:00:00,0.175200,0.175390,0.174260,0.174760,77485122.00
2025-05-01 07:00:00,0.174760,0.175470,0.174470,0.175230,66714101.00
2025-05-01 08:00:00,0.175220,0.176420,0.174930,0.176090,129561268.00
2025-05-01 09:00:00,0.176090,0.177470,0.175660,0.176810,119084012.00
2025-05-01 10:00:00,0.176800,0.179350,0.176740,0.178550,338353110.00
2025-05-01 11:00:00,0.178550,0.179500,0.177910,0.179290,296063096.00
2025-05-01 12:00:00,0.179280,0.179830,0.178500,0.178890,174985407.00
2025-05-01 13:00:00,0.178900,0.179270,0.176730,0.176820,336644381.00
2025-05-01 14:00:00,0.176830,0.181650,0.176830,0.181380,326566495.00
2025-05-01 15:00:00,0.181380,0.182450,0.180190,0.180540,389657611.00
2025-05-01 16:00:00,0.180530,0.182940,0.180530,0.181770,231850920.00
2025-05-01 17:00:00,0.181760,0.183290,0.181300,0.181880,264445288.00
2025-05-01 18:00:00,0.181880,0.182060,0.180650,0.181960,159212871.00
2025-05-01 19:00:00,0.181970,0.182000,0.180390,0.180600,144364007.00
2025-05-01 20:00:00,0.180600,0.181080,0.179950,0.180500,126788215.00
2025-05-01 21:00:00,0.180490,0.182290,0.180480,0.181300,97674662.00
2025-05-01 22:00:00,0.181300,0.182360,0.181140,0.181520,107703008.00
2025-05-01 23:00:00,0.181510,0.181710,0.180220,0.180570,111293061.00
2025-05-02 00:00:00,0.180570,0.182440,0.179700,0.181690,240559529.00
2025-05-02 01:00:00,0.181680,0.182740,0.180710,0.181370,170083150.00
2025-05-02 02:00:00,0.181380,0.184150,0.180730,0.183550,222565696.00
2025-05-02 03:00:00,0.183540,0.184400,0.182310,0.182350,158765874.00
2025-05-02 04:00:00,0.182350,0.182830,0.180600,0.181030,211342673.00
2025-05-02 05:00:00,0.181040,0.181340,0.179970,0.180160,180590063.00
2025-05-02 06:00:00,0.180160,0.180910,0.179680,0.180340,168063552.00
2025-05-02 07:00:00,0.180340,0.180630,0.179070,0.179270,147869644.00
2025-05-02 08:00:00,0.179270,0.180540,0.179220,0.180260,107706752.00
2025-05-02 09:00:00,0.180260,0.180730,0.179750,0.179980,71949852.00
2025-05-02 10:00:00,0.179990,0.180680,0.179930,0.180460,121001824.00
2025-05-02 11:00:00,0.180460,0.181590,0.180460,0.180820,124521934.00
2025-05-02 12:00:00,0.180820,0.182190,0.179950,0.181940,228747954.00
2025-05-02 13:00:00,0.181940,0.182150,0.180790,0.180920,188502498.00
2025-05-02 14:00:00,0.180930,0.182800,0.180780,0.182360,224822821.00
2025-05-02 15:00:00,0.182360,0.182540,0.180080,0.181380,203974734.00
2025-05-02 16:00:00,0.181380,0.184120,0.181380,0.182290,368471327.00
2025-05-02 17:00:00,0.182280,0.182440,0.181090,0.181300,143439496.00
2025-05-02 18:00:00,0.181290,0.181890,0.180480,0.180700,105631131.00
2025-05-02 19:00:00,0.180700,0.180700,0.179460,0.179930,142000235.00
2025-05-02 20:00:00,0.179930,0.181290,0.179700,0.181290,78369310.00
2025-05-02 21:00:00,0.181290,0.182330,0.180440,0.180830,100424688.00
2025-05-02 22:00:00,0.180840,0.181390,0.180500,0.180890,70851938.00
2025-05-02 23:00:00,0.180890,0.181500,0.180710,0.181420,61366335.00
2025-05-03 00:00:00,0.181430,0.182120,0.180950,0.181290,133400883.00
2025-05-03 01:00:00,0.181280,0.181450,0.179900,0.180190,122536759.00
2025-05-03 02:00:00,0.180190,0.181630,0.180130,0.181080,83052131.00
2025-05-03 03:00:00,0.181080,0.181630,0.180200,0.180270,76779280.00
2025-05-03 04:00:00,0.180260,0.180880,0.179990,0.180520,129782617.00
2025-05-03 05:00:00,0.180510,0.180590,0.179920,0.179990,49099112.00
2025-05-03 06:00:00,0.179990,0.180040,0.178320,0.178710,165157969.00
2025-05-03 07:00:00,0.178700,0.179310,0.178180,0.178830,122075016.00
2025-05-03 08:00:00,0.178830,0.179580,0.178340,0.179010,82769829.00
2025-05-03 09:00:00,0.179010,0.179470,0.178630,0.179300,84737294.00
2025-05-03 10:00:00,0.179300,0.179350,0.177270,0.177440,166208338.00
2025-05-03 11:00:00,0.177440,0.178480,0.177300,0.178000,122275857.00
2025-05-03 12:00:00,0.178010,0.178710,0.177740,0.178340,88049390.00
2025-05-03 13:00:00,0.178350,0.178920,0.178250,0.178720,86062028.00
2025-05-03 14:00:00,0.178710,0.178990,0.177890,0.178570,112136812.00
2025-05-03 15:00:00,0.178570,0.179480,0.178230,0.178420,112561425.00
2025-05-03 16:00:00,0.178420,0.178470,0.176270,0.177010,203638065.00
2025-05-03 17:00:00,0.177020,0.177130,0.175210,0.176440,273039804.00
2025-05-03 18:00:00,0.176440,0.177300,0.175830,0.176160,103257209.00
2025-05-03 19:00:00,0.176160,0.177530,0.175850,0.177490,75859683.00
2025-05-03 20:00:00,0.177490,0.177550,0.176470,0.176640,56342525.00
2025-05-03 21:00:00,0.176640,0.177220,0.176040,0.176370,68609557.00
2025-05-03 22:00:00,0.176380,0.176910,0.176060,0.176310,69005598.00
2025-05-03 23:00:00,0.176310,0.176320,0.175140,0.175550,117078722.00
2025-05-04 00:00:00,0.175550,0.176350,0.174680,0.175120,159532865.00
2025-05-04 01:00:00,0.175110,0.176370,0.174670,0.176110,111806073.00
2025-05-04 02:00:00,0.176110,0.177340,0.175590,0.175850,134365597.00
2025-05-04 03:00:00,0.175850,0.176000,0.175030,0.175120,120004379.00
2025-05-04 04:00:00,0.175110,0.175660,0.174290,0.174730,111105670.00
2025-05-04 05:00:00,0.174730,0.176280,0.174590,0.175980,125605822.00
2025-05-04 06:00:00,0.175970,0.176490,0.175180,0.175630,93164443.00
2025-05-04 07:00:00,0.175630,0.175770,0.174360,0.175140,132842226.00
