分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,107,0.2150,1.5410,-639.05,-5.97,-0.0124,0.0381
阶段,中期,107,0.2243,2.7245,2519.45,23.55,-0.0045,0.0771
阶段,后期,109,0.3028,2.1489,3510.46,32.21,-0.0016,0.0761
总体,总体,323,0.2477,2.1923,5390.86,16.69,-0.0061,0.0665
