交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
PENDLE-USDT-SWAP,多,2025-05-20 02:00:00,4.45654395,2025-05-23 11:00:00,4.43405655,611.824827,-17.02,-0.0062,3.26,移动止盈/止损,0.2667,156.44,0.2667,-0.0965,3.3750,-0.001668,2
BTC-USDT-SWAP,多,2025-05-21 04:00:00,108559.39578294,2025-05-23 11:00:00,109022.29668000,0.075200,24.99,0.0031,9.82,移动止盈/止损,0.7965,181.43,0.7965,-0.0943,2.2917,0.002443,2
ZEN-USDT-SWAP,多,2025-05-21 12:00:00,10.01506566,2025-05-23 11:00:00,9.94200570,307.769787,-26.17,-0.0085,3.69,移动止盈/止损,0.3060,155.26,0.3060,-0.0967,1.9583,-0.002565,3
OP-USDT-SWAP,多,2025-05-22 20:00:00,0.80298029,2025-05-23 11:00:00,0.77712228,1969.028490,-52.78,-0.0334,1.87,移动止盈/止损,0.1499,102.48,0.1499,-0.1013,0.6250,-0.005200,0
ZEC-USDT-SWAP,多,2025-05-25 16:00:00,54.18140921,2025-05-26 02:00:00,51.51484800,65.310085,-178.30,-0.0504,4.14,移动止盈/止损,0.3588,-75.82,0.3588,-0.1171,0.4167,-0.017880,2
VIRTUAL-USDT-SWAP,多,2025-05-26 06:00:00,2.22112209,2025-05-26 16:00:00,2.13838614,487.989343,-41.65,-0.0384,1.28,移动止盈/止损,0.1092,-117.47,0.1092,-0.1208,0.4167,-0.004194,0
TRX-USDT-SWAP,多,2025-05-27 04:00:00,0.27660281,2025-05-27 14:00:00,0.27492251,35729.813498,-71.86,-0.0073,11.82,移动止盈/止损,1.0001,-189.33,1.0001,-0.1272,0.4167,-0.007289,1
UNI-USDT-SWAP,多,2025-05-27 08:00:00,6.70967090,2025-05-27 14:00:00,6.49535040,190.393193,-42.31,-0.0331,1.51,移动止盈/止损,0.1286,-231.64,0.1286,-0.1309,0.2500,-0.004311,0
BNB-USDT-SWAP,多,2025-05-27 14:00:00,688.83887700,2025-05-28 01:00:00,683.38165500,5.469470,-34.35,-0.0091,4.50,移动止盈/止损,0.3857,-265.99,0.3857,-0.1339,0.4583,-0.003512,0
PENDLE-USDT-SWAP,多,2025-05-27 14:00:00,4.56539436,2025-05-28 02:00:00,4.48615134,718.246203,-60.82,-0.0185,3.90,移动止盈/止损,0.3359,-326.81,0.3359,-0.1393,0.5000,-0.006256,1
ETH-USDT-SWAP,多,2025-05-27 14:00:00,2660.35600900,2025-05-28 06:00:00,2626.29734400,0.806608,-30.03,-0.0140,2.56,移动止盈/止损,0.2196,-356.84,0.2196,-0.1420,0.6667,-0.003099,0
