分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,128,0.3047,1.9413,-902.62,-7.05,-0.0023,0.0421
阶段,中期,128,0.3672,1.8614,863.10,6.74,0.0011,0.0422
阶段,后期,128,0.3906,3.1447,1674.06,13.08,0.0122,0.0630
总体,总体,384,0.3542,2.3115,1634.53,4.26,0.0037,0.0504
