分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动,收益率最小,收益率最大,收益率偏度,p01,p05,p10,p25,p50,p75,p90,p95,p99
阶段,前期,79,0.3291,1.2505,2738.62,34.67,-0.0085,0.0463,,,,,,,,,,,
阶段,中期,79,0.2911,1.3524,2569.10,32.52,-0.0091,0.0441,,,,,,,,,,,
阶段,后期,79,0.3544,1.1755,1690.21,21.40,-0.0078,0.0464,,,,,,,,,,,
总体,总体,237,0.3249,1.2593,6997.94,29.53,-0.0085,0.0457,,,,,,,,,,,
分布-总体,—,237,,,,,-0.0085,0.0457,-0.1104,0.2477,1.5939,-0.1026,-0.0628,-0.0515,-0.0340,-0.0177,0.0077,0.0428,0.0765,0.1387
分布-多,—,237,,,,,-0.0085,0.0457,-0.1104,0.2477,1.5939,-0.1026,-0.0628,-0.0515,-0.0340,-0.0177,0.0077,0.0428,0.0765,0.1387
