交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
HYPE-USDT-SWAP,多,2025-06-29 12:00:00,38.99089870,2025-06-29 17:00:00,38.25017460,115.168367,-90.65,-0.0076,5.34,移动止盈/止损,0.3760,1850.71,0.3760,-0.0304,0.2083,-0.007649,0
TRX-USDT-SWAP,多,2025-07-02 08:00:00,0.28092809,2025-07-02 15:00:00,0.28126187,37802.000133,-0.13,-0.0000,12.75,移动止盈/止损,0.8961,1850.57,0.8961,-0.0304,0.2917,-0.000011,0
BNB-USDT-SWAP,多,2025-07-02 08:00:00,660.10285862,2025-07-02 23:00:00,659.90400300,17.952753,-17.79,-0.0015,14.22,移动止盈/止损,1.0001,1832.79,1.0001,-0.0318,0.6250,-0.001503,1
SUI-USDT-SWAP,多,2025-07-02 16:00:00,2.92639261,2025-07-03 05:00:00,2.97780219,947.118879,45.34,0.0038,3.36,移动止盈/止损,0.2325,1878.12,0.2325,-0.0281,0.5417,0.003817,0
BOME-USDT-SWAP,多,2025-07-03 04:00:00,0.00167617,2025-07-03 12:00:00,0.00163684,1455482.990950,-60.14,-0.0050,2.89,移动止盈/止损,0.2009,1817.98,0.2009,-0.0331,0.3333,-0.005089,0
SUI-USDT-SWAP,多,2025-07-03 08:00:00,3.05500547,2025-07-03 15:00:00,2.96250372,935.282236,-89.89,-0.0073,3.38,移动止盈/止损,0.2329,1728.09,0.2329,-0.0404,0.2917,-0.007665,0
BONK-USDT-SWAP,多,2025-07-02 16:00:00,0.01670997,2025-07-05 17:00:00,0.01813119,428229.731254,599.66,0.0503,8.95,移动止盈/止损,0.6367,2327.75,0.6367,0.0000,3.0417,0.048643,2
XLM-USDT-SWAP,多,2025-07-07 00:00:00,0.25338534,2025-07-07 08:00:00,0.24846515,17698.016545,-92.41,-0.0075,5.33,移动止盈/止损,0.3638,2235.34,0.3638,-0.0075,0.3333,-0.007552,0
BONK-USDT-SWAP,多,2025-07-07 08:00:00,0.02290129,2025-07-07 19:00:00,0.02137486,64010.468385,-99.41,-0.0081,1.70,移动止盈/止损,0.1198,2135.93,0.1198,-0.0156,0.4583,-0.008191,0
ZEC-USDT-SWAP,多,2025-07-08 16:00:00,43.30150404,2025-07-09 02:00:00,40.95590400,105.447155,-252.67,-0.0208,5.33,移动止盈/止损,0.3825,1883.26,0.3825,-0.0361,0.4167,-0.021262,1
NEAR-USDT-SWAP,多,2025-07-09 16:00:00,2.28622860,2025-07-09 19:00:00,2.33176680,1695.279720,72.50,0.0061,4.70,移动止盈/止损,0.3262,1955.77,0.3262,-0.0302,0.1250,0.006064,0
UNI-USDT-SWAP,多,2025-07-09 16:00:00,8.22182210,2025-07-10 00:00:00,8.18318160,333.952574,-16.19,-0.0014,3.29,移动止盈/止损,0.2311,1939.58,0.2311,-0.0315,0.3333,-0.001356,0
WIF-USDT-SWAP,多,2025-07-10 04:00:00,0.96759675,2025-07-10 16:00:00,1.00559943,2373.277530,87.38,0.0073,2.81,移动止盈/止损,0.1923,2026.96,0.1923,-0.0244,0.5000,0.007265,0
PENDLE-USDT-SWAP,多,2025-07-10 20:00:00,3.95579554,2025-07-10 21:00:00,4.08229173,818.991623,99.65,0.0083,3.95,移动止盈/止损,0.2691,2126.61,0.2691,-0.0163,0.0417,0.008217,0
ARB-USDT-SWAP,多,2025-07-10 20:00:00,0.37643764,2025-07-10 21:00:00,0.38926107,7725.854511,95.52,0.0079,3.55,移动止盈/止损,0.2415,2222.13,0.2415,-0.0086,0.0417,0.007816,0
WIF-USDT-SWAP,多,2025-07-10 16:00:00,1.00580057,2025-07-11 15:00:00,1.00089990,2153.903864,-13.15,-0.0011,2.59,移动止盈/止损,0.1801,2208.98,0.1801,-0.0096,0.9583,-0.001077,0
ARB-USDT-SWAP,多,2025-07-11 04:00:00,0.42094209,2025-07-11 15:00:00,0.40635936,5201.555262,-78.43,-0.0064,2.58,移动止盈/止损,0.1779,2130.55,0.1779,-0.0160,0.4583,-0.006466,0
OP-USDT-SWAP,多,2025-07-11 04:00:00,0.68426842,2025-07-11 22:00:00,0.65563443,3359.981201,-98.91,-0.0080,2.70,移动止盈/止损,0.1868,2031.63,0.1868,-0.0240,0.7500,-0.008221,0
HYPE-USDT-SWAP,多,2025-07-14 00:00:00,49.48603230,2025-07-14 06:00:00,48.91210830,138.548474,-87.70,-0.0073,8.18,移动止盈/止损,0.5716,1943.94,0.5716,-0.0311,0.2500,-0.007342,1
XRP-USDT-SWAP,多,2025-07-14 08:00:00,2.98019799,2025-07-15 01:00:00,2.88881109,755.086109,-71.66,-0.0060,2.66,移动止盈/止损,0.1884,1872.27,0.1884,-0.0369,0.7083,-0.006036,0
BOME-USDT-SWAP,多,2025-07-16 16:00:00,0.00229427,2025-07-17 12:00:00,0.00231377,1045878.088429,17.50,0.0015,2.89,移动止盈/止损,0.2108,1889.77,0.2108,-0.0355,0.8333,0.001472,1
ETH-USDT-SWAP,多,2025-07-18 00:00:00,3537.72373700,2025-07-18 01:00:00,3615.19844400,0.752583,55.08,0.0046,3.23,移动止盈/止损,0.2239,1944.85,0.2239,-0.0311,0.0417,0.004611,0
ADA-USDT-SWAP,多,2025-07-18 00:00:00,0.85628562,2025-07-18 05:00:00,0.87801219,1987.743171,41.12,0.0035,2.07,移动止盈/止损,0.1432,1985.97,0.1432,-0.0277,0.2083,0.003431,0
LINK-USDT-SWAP,多,2025-07-18 00:00:00,18.67775963,2025-07-18 07:00:00,18.52214760,220.273025,-39.19,-0.0033,4.92,移动止盈/止损,0.3472,1946.78,0.3472,-0.0309,0.2917,-0.003281,1
DOGE-USDT-SWAP,多,2025-07-18 12:00:00,0.24711471,2025-07-18 18:00:00,0.23436656,6345.720545,-82.73,-0.0069,1.83,移动止盈/止损,0.1311,1864.05,0.1311,-0.0376,0.2500,-0.006973,0
