分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,221,0.3303,1.6976,-1119.12,-5.06,-0.0024,0.0371
阶段,中期,221,0.3348,1.4406,-810.52,-3.67,-0.0042,0.0383
阶段,后期,222,0.3694,2.7517,1468.32,6.61,0.0077,0.0557
总体,总体,664,0.3449,1.9520,-461.32,-0.69,0.0004,0.0448
