交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
TON-USDT-SWAP,多,2025-06-05 12:00:00,3.25082505,2025-06-05 14:00:00,3.21897807,492.728030,-17.60,-0.0018,1.91,移动止盈/止损,0.1613,-86.93,0.1613,-0.0235,0.0833,-0.001776,0
TRX-USDT-SWAP,多,2025-06-07 18:00:00,0.28346834,2025-06-08 16:00:00,0.28391161,8906.706077,0.92,0.0001,3.03,移动止盈/止损,0.2550,-86.01,0.2550,-0.0234,0.9167,0.000092,0
BCH-USDT-SWAP,多,2025-06-07 12:00:00,413.08643346,2025-06-08 22:00:00,412.40875500,9.079699,-10.65,-0.0011,4.50,移动止盈/止损,0.3790,-96.66,0.3790,-0.0244,1.4167,-0.001075,1
XRP-USDT-SWAP,多,2025-06-08 18:00:00,2.28312829,2025-06-09 01:00:00,2.24347563,883.516532,-37.43,-0.0038,2.40,移动止盈/止损,0.2032,-134.09,0.2032,-0.0281,0.2917,-0.003794,0
SUI-USDT-SWAP,多,2025-06-09 12:00:00,3.38569339,2025-06-10 02:00:00,3.40765920,1453.963082,26.01,0.0026,5.93,移动止盈/止损,0.5004,-108.08,0.5004,-0.0255,0.5833,0.002630,2
HYPE-USDT-SWAP,多,2025-06-09 15:00:00,39.09079316,2025-06-10 15:00:00,40.14498510,72.372937,72.85,0.0074,3.44,移动止盈/止损,0.2867,-35.23,0.2867,-0.0184,1.0000,0.007311,2
TAO-USDT-SWAP,多,2025-06-10 03:00:00,429.21291700,2025-06-10 20:00:00,421.30786500,2.281279,-19.20,-0.0019,1.16,移动止盈/止损,0.0966,-54.43,0.0966,-0.0203,0.7083,-0.001930,0
ARB-USDT-SWAP,多,2025-06-10 18:00:00,0.41092818,2025-06-11 18:00:00,0.40885911,4088.784412,-10.47,-0.0010,2.01,移动止盈/止损,0.1540,-64.90,0.1540,-0.0213,1.0000,-0.001054,1
HYPE-USDT-SWAP,多,2025-06-11 15:00:00,43.53935350,2025-06-11 21:00:00,41.02589700,20.418913,-52.36,-0.0047,1.04,移动止盈/止损,0.0798,-117.26,0.0798,-0.0264,0.2500,-0.005298,0
UNI-USDT-SWAP,多,2025-06-09 12:00:00,6.90234192,2025-06-12 07:00:00,7.95120480,804.419303,836.56,0.0848,7.17,移动止盈/止损,0.5662,719.30,0.5662,0.0000,2.7917,0.078042,3
XRP-USDT-SWAP,多,2025-06-16 18:00:00,2.32383236,2025-06-16 22:00:00,2.27387259,684.163748,-36.07,-0.0034,1.89,移动止盈/止损,0.1483,683.23,0.1483,-0.0034,0.1667,-0.003376,0
BCH-USDT-SWAP,多,2025-06-16 15:00:00,472.86207421,2025-06-17 09:00:00,468.96309900,4.367364,-19.50,-0.0018,2.47,移动止盈/止损,0.1959,663.74,0.1959,-0.0052,0.7500,-0.001828,1
LINK-USDT-SWAP,多,2025-06-24 15:00:00,13.34833470,2025-06-24 16:00:00,13.71462840,81.949790,28.69,0.0027,1.33,移动止盈/止损,0.1026,692.42,0.1026,-0.0025,0.0417,0.002683,0
WIF-USDT-SWAP,多,2025-06-24 06:00:00,0.87258725,2025-06-25 14:00:00,0.83531646,703.845127,-26.95,-0.0025,0.72,移动止盈/止损,0.0576,665.47,0.0576,-0.0050,1.3333,-0.002527,0
BCH-USDT-SWAP,多,2025-06-26 03:00:00,494.71781977,2025-06-26 13:00:00,491.77081800,5.392719,-19.08,-0.0018,3.19,移动止盈/止损,0.2519,646.39,0.2519,-0.0068,0.4167,-0.001793,1
HYPE-USDT-SWAP,多,2025-06-29 12:00:00,38.99089870,2025-06-29 17:00:00,38.25017460,44.054044,-34.67,-0.0033,2.04,移动止盈/止损,0.1612,611.71,0.1612,-0.0100,0.2083,-0.003267,0
BONK-USDT-SWAP,多,2025-06-28 18:00:00,0.01448745,2025-06-30 10:00:00,0.01450255,71451.466850,-0.16,-0.0000,1.24,移动止盈/止损,0.0972,611.55,0.0972,-0.0101,1.6667,-0.000015,0
