分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动
阶段,前期,56,0.3036,3.4716,479.38,8.56,0.0009,0.0121
阶段,中期,56,0.2500,3.7821,221.70,3.96,0.0004,0.0059
阶段,后期,56,0.3393,3.5162,810.50,14.47,0.0014,0.0111
总体,总体,168,0.2976,3.6257,1511.58,9.00,0.0009,0.0101
