交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
VIRTUAL-USDT-SWAP,多,2025-05-26 06:00:00,2.22112209,2025-05-26 16:00:00,2.13838614,288.194543,-24.60,-0.3843,0.75,移动止盈/止损,0.0655,-256.30,0.0655,-0.0406,0.4167,-0.002525,0
VIRTUAL-USDT-SWAP,多,2025-05-27 18:00:00,2.52435241,2025-05-28 11:00:00,2.37606237,214.132168,-32.38,-0.5991,0.63,移动止盈/止损,0.0555,-288.68,0.0555,-0.0438,0.7083,-0.003335,0
TON-USDT-SWAP,多,2025-06-05 12:00:00,3.25082505,2025-06-05 14:00:00,3.21897807,481.844016,-17.22,-0.1099,1.87,移动止盈/止损,0.1613,-305.90,0.1613,-0.0455,0.0833,-0.001776,0
XRP-USDT-SWAP,多,2025-06-08 18:00:00,2.28312829,2025-06-09 01:00:00,2.24347563,863.006999,-36.56,-0.1856,2.34,移动止盈/止损,0.2032,-342.46,0.2032,-0.0491,0.2917,-0.003786,0
TAO-USDT-SWAP,多,2025-06-09 09:00:00,410.22258487,2025-06-09 22:00:00,421.13788200,8.138479,84.77,0.2539,4.06,移动止盈/止损,0.3494,-257.69,0.3494,-0.0407,0.5417,0.008702,2
BCH-USDT-SWAP,多,2025-06-07 12:00:00,418.28076893,2025-06-10 00:00:00,426.58733700,15.265541,119.07,0.1865,7.74,移动止盈/止损,0.6529,-138.62,0.6529,-0.0290,2.5000,0.012074,2
TRX-USDT-SWAP,多,2025-06-07 18:00:00,0.28852709,2025-06-10 20:00:00,0.29125087,29511.009645,70.12,0.0823,10.27,移动止盈/止损,0.8411,-68.51,0.8411,-0.0221,3.0833,0.007060,2
UNI-USDT-SWAP,多,2025-06-10 00:00:00,7.65117358,2025-06-11 09:00:00,8.18118180,519.701428,270.51,0.6803,4.94,移动止盈/止损,0.4230,202.00,0.4230,0.0000,1.3750,0.026516,3
ARB-USDT-SWAP,多,2025-06-11 15:00:00,0.41974197,2025-06-11 20:00:00,0.40565943,1918.772444,-27.97,-0.3473,0.95,移动止盈/止损,0.0786,174.03,0.0786,-0.0027,0.2083,-0.002749,0
BONK-USDT-SWAP,多,2025-06-10 00:00:00,0.01766224,2025-06-11 21:00:00,0.01677432,95836.127125,-87.08,-0.5144,1.98,移动止盈/止损,0.1673,86.95,0.1673,-0.0113,1.8750,-0.008633,1
HYPE-USDT-SWAP,多,2025-06-11 15:00:00,43.53935350,2025-06-11 21:00:00,41.02589700,18.774272,-48.14,-0.5889,0.95,移动止盈/止损,0.0798,38.81,0.0798,-0.0160,0.2500,-0.004796,0
HYPE-USDT-SWAP,多,2025-06-16 06:00:00,44.33143270,2025-06-16 22:00:00,42.89171040,18.711255,-27.92,-0.3366,0.98,移动止盈/止损,0.0826,10.90,0.0826,-0.0187,0.6667,-0.002789,0
XRP-USDT-SWAP,多,2025-06-16 18:00:00,2.32383236,2025-06-16 22:00:00,2.27387259,641.135723,-33.80,-0.2269,1.77,移动止盈/止损,0.1483,-22.90,0.1483,-0.0220,0.1667,-0.003388,0
BCH-USDT-SWAP,多,2025-06-16 15:00:00,472.85059108,2025-06-18 15:00:00,464.42355300,4.086187,-36.73,-0.1901,2.30,对齐失效,0.1962,-59.64,0.1962,-0.0256,2.0000,-0.003695,1
BCH-USDT-SWAP,多,2025-06-19 18:00:00,495.13950900,2025-06-20 17:00:00,483.03169200,1.912121,-24.27,-0.2564,1.12,移动止盈/止损,0.0952,-83.91,0.0952,-0.0280,0.9583,-0.002448,0
TAO-USDT-SWAP,多,2025-06-24 06:00:00,362.08620500,2025-06-24 16:00:00,358.87410900,2.155728,-7.86,-0.1007,0.93,移动止盈/止损,0.0787,-91.77,0.0787,-0.0288,0.4167,-0.000793,0
ARB-USDT-SWAP,多,2025-06-24 06:00:00,0.31926411,2025-06-24 19:00:00,0.31926807,5565.845391,-2.11,-0.0119,2.13,移动止盈/止损,0.1810,-93.88,0.1810,-0.0290,0.5417,-0.000213,1
ZEC-USDT-SWAP,多,2025-06-25 00:00:00,42.86428600,2025-06-25 08:00:00,42.05579400,29.318602,-25.20,-0.2005,1.49,移动止盈/止损,0.1268,-119.08,0.1268,-0.0315,0.3333,-0.002550,0
WIF-USDT-SWAP,多,2025-06-24 06:00:00,0.87258725,2025-06-25 14:00:00,0.83531646,654.497737,-25.06,-0.4389,0.67,移动止盈/止损,0.0576,-144.14,0.0576,-0.0339,1.3333,-0.002543,0
BCH-USDT-SWAP,多,2025-06-26 03:00:00,494.71781977,2025-06-28 06:00:00,497.76021900,4.983361,12.19,0.0495,2.97,对齐失效,0.2519,-131.95,0.2519,-0.0327,2.1250,0.001236,1
HYPE-USDT-SWAP,多,2025-06-29 12:00:00,38.99089870,2025-06-29 17:00:00,38.25017460,40.833362,-32.14,-0.2019,1.89,移动止盈/止损,0.1612,-164.08,0.1612,-0.0359,0.2083,-0.003268,0
